ord_id,ord_number,cust_id,prd_key,qty,unit_price,order_date,ship_date,due_date,channel,status
1,ORD00000001,395,PRD-0027,2,552,2021-08-09 20:04:19,2021-08-11 20:04:19,2021-08-15 20:04:19,Web,Pending
2,ORD00000002,724,PRD-0003,4,560,2021-10-14 20:07:37,2021-10-15 20:07:37,2021-10-21 20:07:37,Store,Returned
3,ORD00000003,715,PRD-0019,3,738,2021-05-19 09:00:03,2021-05-23 09:00:03,2021-05-30 09:00:03,Phone,Returned
4,ORD00000004,671,PRD-0025,2,1565,2025-03-23 02:20:02,2025-03-25 02:20:02,2025-03-31 02:20:02,Store,Cancelled
5,ORD00000005,624,PRD-0018,3,437,2025-05-31 16:41:49,2025-06-02 16:41:49,2025-06-05 16:41:49,Store,Returned
6,ORD00000006,228,PRD-0017,4,418,2021-09-18 17:43:30,2021-09-22 17:43:30,2021-09-26 17:43:30,Phone,Pending
7,ORD00000007,248,PRD-0003,4,1759,2023-09-14 16:00:13,2023-09-16 16:00:13,2023-09-20 16:00:13,Store,Returned
8,ORD00000008,241,PRD-0029,4,1446,2025-07-20 15:48:47,2025-07-21 15:48:47,2025-07-24 15:48:47,Store,Cancelled
9,ORD00000009,43,PRD-0001,4,337,2025-07-13 13:18:43,2025-07-14 13:18:43,2025-07-26 13:18:43,Store,Returned
10,ORD00000010,706,PRD-0010,3,937,2020-07-05 10:54:20,2020-07-08 10:54:20,2020-07-18 10:54:20,Phone,Delivered
11,ORD00000011,327,PRD-0008,2,1730,2023-11-03 08:07:43,2023-11-04 08:07:43,2023-11-09 08:07:43,Phone,Pending
12,ORD00000012,340,PRD-0022,3,1953,2022-10-10 19:03:26,2022-10-13 19:03:26,2022-10-25 19:03:26,Store,Pending
13,ORD00000013,334,PRD-0011,4,1745,2021-11-28 10:46:19,2021-11-29 10:46:19,2021-12-03 10:46:19,Store,Delivered
14,ORD00000014,95,PRD-0009,4,1868,2025-02-13 21:26:12,2025-02-15 21:26:12,2025-02-19 21:26:12,Web,Pending
15,ORD00000015,86,PRD-0001,2,874,2023-04-24 00:32:23,2023-04-25 00:32:23,2023-05-05 00:32:23,Phone,Returned
16,ORD00000016,386,PRD-0028,4,529,2020-12-28 01:05:27,2020-12-29 01:05:27,2021-01-01 01:05:27,Phone,Delivered
17,ORD00000017,316,PRD-0022,2,1167,2024-08-20 22:31:52,2024-08-24 22:31:52,2024-08-29 22:31:52,Phone,Cancelled
18,ORD00000018,342,PRD-0027,4,1994,2020-04-28 19:50:14,2020-04-30 19:50:14,2020-05-10 19:50:14,Web,Returned
19,ORD00000019,282,PRD-0027,1,399,2024-05-06 02:58:27,2024-05-09 02:58:27,2024-05-19 02:58:27,Phone,Cancelled
20,ORD00000020,712,PRD-0023,3,1198,2021-05-17 16:38:06,2021-05-19 16:38:06,2021-05-29 16:38:06,Web,Delivered
21,ORD00000021,330,PRD-0005,4,388,2021-04-24 11:03:56,2021-04-25 11:03:56,2021-04-30 11:03:56,Web,Delivered
22,ORD00000022,652,PRD-0006,2,843,2020-06-01 14:08:37,2020-06-04 14:08:37,2020-06-16 14:08:37,Phone,Pending
23,ORD00000023,197,PRD-0029,1,1360,2025-05-15 06:05:00,2025-05-17 06:05:00,2025-05-30 06:05:00,Web,Returned
24,ORD00000024,344,PRD-0003,4,1129,2020-10-13 07:35:10,2020-10-15 07:35:10,2020-10-27 07:35:10,Web,Returned
25,ORD00000025,70,PRD-0008,1,421,2023-05-01 20:36:21,2023-05-02 20:36:21,2023-05-12 20:36:21,Store,Returned
26,ORD00000026,271,PRD-0028,4,713,2023-05-11 10:53:36,2023-05-13 10:53:36,2023-05-16 10:53:36,Store,Pending
27,ORD00000027,233,PRD-0006,2,1208,2021-02-28 03:34:48,2021-03-04 03:34:48,2021-03-10 03:34:48,Phone,Delivered
28,ORD00000028,281,PRD-0022,1,466,2023-11-24 05:06:34,2023-11-26 05:06:34,2023-12-06 05:06:34,Web,Delivered
29,ORD00000029,436,PRD-0030,4,1770,2023-03-21 15:41:19,2023-03-24 15:41:19,2023-04-05 15:41:19,Phone,Cancelled
30,ORD00000030,105,PRD-0008,3,1701,2024-09-15 17:47:18,2024-09-17 17:47:18,2024-09-30 17:47:18,Web,Returned
31,ORD00000031,11,PRD-0029,3,957,2023-04-25 17:41:35,2023-04-29 17:41:35,2023-05-03 17:41:35,Store,Delivered
32,ORD00000032,112,PRD-0015,2,1685,2024-07-19 02:37:09,2024-07-21 02:37:09,2024-07-30 02:37:09,Phone,Cancelled
33,ORD00000033,200,PRD-0022,2,333,2025-08-26 02:17:58,2025-08-28 02:17:58,2025-09-10 02:17:58,Store,Returned
34,ORD00000034,670,PRD-0022,1,1928,2022-02-20 20:10:29,2022-02-22 20:10:29,2022-02-27 20:10:29,Web,Cancelled
35,ORD00000035,68,PRD-0026,4,499,2022-04-09 19:25:11,2022-04-11 19:25:11,2022-04-23 19:25:11,Store,Returned
36,ORD00000036,249,PRD-0014,4,963,2024-03-30 09:58:01,2024-04-03 09:58:01,2024-04-10 09:58:01,Store,Cancelled
37,ORD00000037,249,PRD-0002,1,991,2020-11-22 16:08:45,2020-11-24 16:08:45,2020-11-30 16:08:45,Web,Cancelled
38,ORD00000038,478,PRD-0019,4,608,2025-03-07 11:50:36,2025-03-09 11:50:36,2025-03-22 11:50:36,Phone,Delivered
39,ORD00000039,349,PRD-0026,4,614,2024-08-06 16:50:46,2024-08-10 16:50:46,2024-08-16 16:50:46,Store,Cancelled
40,ORD00000040,2,PRD-0005,4,1787,2024-01-28 15:56:20,2024-01-31 15:56:20,2024-02-09 15:56:20,Web,Cancelled
41,ORD00000041,448,PRD-0012,4,1918,2021-05-08 15:51:20,2021-05-09 15:51:20,2021-05-13 15:51:20,Phone,Delivered
42,ORD00000042,212,PRD-0022,4,1009,2022-05-26 23:26:25,2022-05-27 23:26:25,2022-06-06 23:26:25,Store,Pending
43,ORD00000043,227,PRD-0029,3,704,2021-01-06 19:55:03,2021-01-07 19:55:03,2021-01-17 19:55:03,Phone,Delivered
44,ORD00000044,243,PRD-0006,2,374,2022-10-24 12:41:05,2022-10-27 12:41:05,2022-11-09 12:41:05,Phone,Pending
45,ORD00000045,526,PRD-0014,3,728,2020-04-24 04:37:20,2020-04-25 04:37:20,2020-04-28 04:37:20,Web,Returned
46,ORD00000046,590,PRD-0004,3,717,2021-07-15 09:01:45,2021-07-19 09:01:45,2021-07-27 09:01:45,Web,Cancelled
