cust_key,birthdate
CUST000001,1985-06-23
CUST000002,1984-06-29
CUST000003,1977-04-21
CUST000004,1996-03-17
CUST000005,1996-08-06
CUST000006,1999-05-16
CUST000007,1986-12-08
CUST000008,1960-11-27
CUST000009,1997-11-21
CUST000010,1986-06-19
CUST000011,1962-07-09
CUST000012,1989-02-06
CUST000013,2002-12-26
CUST000014,1999-08-15
CUST000015,1992-07-30
CUST000016,1974-10-27
CUST000017,1967-04-22
CUST000018,1980-08-12
CUST000019,1982-08-03
CUST000020,2002-06-30
CUST000021,1979-10-13
CUST000022,1968-04-04
CUST000023,1986-01-16
CUST000024,2000-01-31
CUST000025,1978-04-06
CUST000026,1973-12-29
CUST000027,1982-09-24
CUST000028,1985-03-14
CUST000029,2002-06-06
CUST000030,1993-04-16
CUST000031,1987-10-25
CUST000032,2003-12-06
CUST000033,1981-01-14
CUST000034,1994-02-28
CUST000035,2000-02-17
CUST000036,1968-06-29
CUST000037,1960-02-21
CUST000038,1998-12-07
CUST000039,1976-09-09
CUST000040,1967-06-04
CUST000041,1980-01-14
CUST000042,2003-11-11
CUST000043,1989-07-07
CUST000044,1993-08-16
CUST000045,1991-10-27
CUST000046,2004-08-24
CUST000047,1974-02-16
CUST000048,1986-01-17
CUST000049,2003-07-21
CUST000050,1969-05-20
CUST000051,1998-04-17
CUST000052,1968-02-26
CUST000053,1982-07-10
CUST000054,1989-11-12
CUST000055,2002-11-09
CUST000056,2001-06-12
CUST000057,1987-06-28
CUST000058,1967-12-06
CUST000059,1972-01-31
CUST000060,1999-03-11
CUST000061,1983-02-01
CUST000062,1976-08-22
CUST000063,2004-10-16
CUST000064,1994-11-02
CUST000065,1992-02-11
CUST000066,1977-09-24
CUST000067,1998-11-28
CUST000068,1995-12-24
CUST000069,1964-05-08
CUST000070,1993-10-14
CUST000071,1971-02-27
CUST000072,1982-09-22
CUST000073,1981-09-27
CUST000074,1993-12-11
CUST000075,1961-05-17
CUST000076,1973-11-13
CUST000077,1998-04-14
CUST000078,1974-12-16
CUST000079,1989-03-16
CUST000080,1973-06-17
CUST000081,1970-10-09
CUST000082,1983-05-28
CUST000083,1999-03-30
CUST000084,2003-06-20
CUST000085,1963-03-24
CUST000086,1993-03-05
CUST000087,2002-04-24
CUST000088,2003-07-04
CUST000089,1970-12-03
CUST000090,1969-07-21
CUST000091,1976-06-02
CUST000092,1981-11-10
CUST000093,1971-04-21
CUST000094,1969-02-09
CUST000095,1997-03-26
CUST000096,1999-11-26
CUST000097,1962-09-05
CUST000098,1981-04-16
CUST000099,1961-06-20
CUST000100,1981-09-08
CUST000101,1965-05-28
CUST000102,1981-09-29
CUST000103,1974-11-07
CUST000104,1983-09-05
CUST000105,1978-12-01
CUST000106,1971-12-04
CUST000107,1985-10-24
CUST000108,1989-02-17
CUST000109,1985-09-29
CUST000110,1999-03-31
CUST000111,1966-04-08
CUST000112,1987-12-09
CUST000113,1987-02-27
CUST000114,1970-02-15
CUST000115,2001-06-07
CUST000116,1994-08-06
CUST000117,1982-01-15
CUST000118,1986-10-02
CUST000119,1967-07-13
CUST000120,1998-10-15
CUST000121,1974-09-19
CUST000122,1971-08-07
CUST000123,1976-02-09
CUST000124,1987-08-12
CUST000125,1963-03-31
CUST000126,1988-04-10
CUST000127,1999-12-08
CUST000128,1972-02-22
CUST000129,1965-06-23
CUST000130,1960-02-12
CUST000131,1967-03-12
CUST000132,1960-07-22
CUST000133,2000-09-14
CUST000134,1977-05-26
CUST000135,1968-09-23
CUST000136,1985-05-14
CUST000137,1978-02-05
CUST000138,1990-04-17
CUST000139,2003-07-16
CUST000140,1972-05-20
CUST000141,1976-04-23
CUST000142,1996-03-30
CUST000143,1984-09-07
CUST000144,1986-10-04
CUST000145,2004-02-07
CUST000146,1977-03-25
CUST000147,1965-05-08
CUST000148,1969-08-12
CUST000149,1968-02-07
CUST000150,1969-09-09
CUST000151,1986-04-27
CUST000152,1999-06-26
CUST000153,1997-07-15
CUST000154,1997-11-27
CUST000155,1996-01-16
CUST000156,1987-11-25
CUST000157,1999-03-10
CUST000158,1995-04-10
CUST000159,1973-06-23
CUST000160,1968-12-11
CUST000161,1993-09-01
CUST000162,1969-05-29
CUST000163,1983-11-22
CUST000164,1970-01-07
CUST000165,1991-05-15
CUST000166,1963-03-29
CUST000167,1997-04-20
CUST000168,1989-06-06
CUST000169,1990-02-06
CUST000170,1999-09-02
CUST000171,2003-11-05
CUST000172,1976-08-19
CUST000173,1970-06-21
CUST000174,1977-11-18
CUST000175,1969-12-12
CUST000176,2001-08-04
CUST000177,2000-02-22
CUST000178,1969-08-06
CUST000179,1972-09-24
CUST000180,2000-12-27
CUST000181,2002-04-23
CUST000182,2004-05-20
CUST000183,1978-01-11
CUST000184,1970-10-26
CUST000185,1987-03-13
CUST000186,1986-10-24
CUST000187,1967-06-29
CUST000188,1960-02-08
CUST000189,1985-12-28
CUST000190,1987-01-21
CUST000191,1977-04-14
CUST000192,1994-11-06
CUST000193,1973-11-04
CUST000194,2003-12-08
CUST000195,2004-05-08
CUST000196,1987-07-21
CUST000197,1990-06-06
CUST000198,1993-12-20
CUST000199,1988-10-26
CUST000200,1971-12-11
CUST000201,1993-04-08
CUST000202,1979-04-29
CUST000203,1988-12-01
CUST000204,1976-07-02
CUST000205,1965-06-27
CUST000206,1960-05-02
CUST000207,1974-07-07
CUST000208,1967-12-08
CUST000209,2000-03-25
CUST000210,2005-02-04
CUST000211,1979-11-09
CUST000212,1977-04-19
CUST000213,1998-06-24
CUST000214,1987-11-06
CUST000215,2001-11-12
CUST000216,1972-12-31
CUST000217,1973-09-13
CUST000218,1967-11-02
CUST000219,1981-09-22
CUST000220,1978-09-15
CUST000221,2000-11-07
CUST000222,1983-01-27
CUST000223,1982-11-26
CUST000224,1978-03-03
CUST000225,1978-12-06
CUST000226,2003-01-04
CUST000227,1978-04-29
CUST000228,1970-12-13
CUST000229,1966-08-08
CUST000230,1996-03-22
CUST000231,1983-06-10
CUST000232,1963-11-07
CUST000233,1971-10-09
CUST000234,2003-08-18
CUST000235,2004-02-18
CUST000236,1985-01-23
CUST000237,1961-08-12
CUST000238,1960-10-24
CUST000239,1984-08-26
CUST000240,2004-09-26
CUST000241,1965-09-25
CUST000242,1962-10-05
CUST000243,1991-08-17
CUST000244,1979-06-26
CUST000245,1993-08-01
CUST000246,1989-11-18
CUST000247,1980-02-18
CUST000248,1997-05-26
CUST000249,1968-08-30
CUST000250,1976-03-05
CUST000251,2002-11-16
CUST000252,1989-03-05
CUST000253,1960-12-19
CUST000254,1968-01-30
CUST000255,1987-10-25
CUST000256,1994-09-06
CUST000257,1980-03-07
CUST000258,1976-11-30
CUST000259,1993-11-18
CUST000260,1985-05-24
CUST000261,1999-04-19
CUST000262,2001-04-09
CUST000263,1975-06-25
CUST000264,1996-11-07
CUST000265,1993-01-16
CUST000266,1997-03-11
CUST000267,1993-04-19
CUST000268,1990-11-04
CUST000269,1978-04-13
CUST000270,1960-05-16
CUST000271,1992-10-27
CUST000272,1970-10-23
CUST000273,1978-10-03
CUST000274,1962-03-17
CUST000275,1971-01-26
CUST000276,1972-03-11
CUST000277,1960-01-29
CUST000278,1965-03-09
CUST000279,2001-10-07
CUST000280,1969-07-14
CUST000281,1982-02-16
CUST000282,1984-05-21
CUST000283,1976-10-13
CUST000284,1965-10-06
CUST000285,1989-08-09
CUST000286,2002-05-26
CUST000287,1988-03-05
CUST000288,1982-08-27
CUST000289,1980-06-04
CUST000290,1981-03-29
CUST000291,1996-12-21
CUST000292,1983-05-06
CUST000293,1971-05-11
CUST000294,1964-05-10
CUST000295,1993-08-05
CUST000296,1977-10-06
CUST000297,1981-11-29
CUST000298,1962-04-14
CUST000299,1997-11-30
CUST000300,1976-12-05
CUST000301,1991-01-01
CUST000302,1980-07-02
CUST000303,1993-12-24
CUST000304,1965-08-23
CUST000305,1982-08-30
CUST000306,1966-11-24
CUST000307,1973-08-13
CUST000308,1964-07-24
CUST000309,1982-06-02
CUST000310,1974-06-17
CUST000311,1997-12-29
CUST000312,1971-05-10
CUST000313,1976-12-16
CUST000314,1962-04-20
CUST000315,1975-08-07
CUST000316,1988-02-04
CUST000317,1963-08-07
CUST000318,1987-07-16
CUST000319,2002-02-17
CUST000320,1967-03-06
CUST000321,1964-10-19
CUST000322,1997-01-03
CUST000323,1973-10-05
CUST000324,1991-10-04
CUST000325,1986-07-22
CUST000326,1987-07-31
CUST000327,1996-09-01
CUST000328,1971-02-10
CUST000329,1990-07-05
CUST000330,1965-12-07
CUST000331,1964-08-23
CUST000332,1981-05-29
